YearMonth,Total_Units_Sold,Total_Revenue,Avg_Inventory,Below_ROP_Days,Promo_Days
2024-01,176681,3224684.78,527.4699354838709,309,814
2024-02,197188,3596623.24,459.948,545,686
2024-03,231596,4232663.58,459.0683870967742,624,810
2024-04,223793,4089320.27,454.4176,621,770
2024-05,210841,3851210.26,459.0811612903226,579,798
2024-06,170013,3100546.96,460.48973333333333,479,724
2024-07,134915,2470711.65,466.50412903225805,365,835
2024-08,99019,1811864.31,477.4878709677419,250,783
2024-09,76304,1385993.27,472.32106666666664,196,741
2024-10,79599,1455408.84,475.72012903225806,206,825
2024-11,98105,1793716.15,474.29786666666666,267,733
2024-12,131925,2413593.91,469.86946666666665,346,751
